"","ID","date","url","title","source","duplicate","body"
"1","1030112582","2018-12-31","https://www.siasat.com/news/iraqi-education-minister-shaima-khalil-resigns-over-alleged-isis-links-1451762/","Iraqi education minister Shaima Khalil resigns over alleged ISIS links - The Siasat Daily","The Siasat Daily",FALSE,"Baghdad: The newly appointed Iraq's education minister Shaima Khalil Al-Hayali has resigned over allegations that he has links with ISIS. It was alleged that her brother was a leader with Daesh. Shaima resigned just days after she was handed the post.

The scandal came as a blow to Prime Minister Adel Abdul Mahdi who has still not completed his Cabinet. The Parliament's main political blocs are divided over the key positions.

The parliament approved Shaima Khalil Al-Hayali as education minister last week, however, she had not yet taken the ministerial oath.

She resigned on Saturday after intelligence information emerged that her brother was a Daesh leader in Mosul during 2014 and 2016."
"3","1029479779","2018-12-30","http://www.easternmirrornagaland.com/education-essential-vital-for-dev-of-the-state-manipur-minister/","Education essential, vital for dev. of the state -- Manipur minister","Eastern Mirror",FALSE,"Thounaojam Shyamkumar addressing the inaugural programme of the Nongbrang Primary School on Sunday.

Imphal, Dec. 30 (EMN): Education is essential and vital for the development of the state therefore focus should be given at imparting education to the students at the grassroots level, said Thounaojam Shyamkumar,

Forest & Environment, Horticulture & Soil Conservation, Municipal Administration, Housing & Urban Development and Town Planning minister was addressing the inauguration programme of the new building of Nongbrang Primary School on Sunday.

The school was constructed under the joint funding of the Sarva Shiksha Abhiyan and MLA Local Area Development Fund.

The minister urged the local residents to get their children admitted to the school. To generate more income, the minister advised the community of Nongbrang to utilise their paddy fields after the harvest by planting vegetables and other crops.

In an another development, the minister also inaugurated a rural market shed constructed under the central scheme Mission for Integrated Development of Horticulture (MIDH) by the Horticulture and Soil Conservation department at Kongpal Kongkham Leikai in Imphal East district on the same day.

Opening the new market shed, Shyamkumar appealed the residents to maintain cleanliness and to preserve the environment besides conserving the local pond located near the market.

Hoping that the rural market shed will help the women of the area to generate income, the minister announced that another market shed will be constructed to accommodate the women vendors who have been shifted from in and around the Jawaharlal Nehru Institute of Medical Sciences at Porompat area in Imphal East.

He further assured the people of the area that the pond located near the rural market shed at Kongpal Kongkham Leikai will be protected and cleaned under the scheme of the Environment Directorate."
"4","1029385650","2018-12-30","https://www.latestly.com/india/politics/rajasthan-minister-accuses-previous-vasundhara-raje-govt-promoting-rss-saffronisation-programme-primary-education-sector-564956.html","Rajasthan Minister Accuses Previous Vasundhara Raje Govt of Promoting RSS And its Saffronisation Programme in Primary Education Sector | LatestLY","Latestly",FALSE,"Jaipur, December 30: Chief Minister Ashok Gehlot-led Rajasthan Government would soon review changes made in the education sector by the previous Vasundhara Raje government, informed state Education Minister Govind Singh Dotasara in Jaipur on Saturday. He added that the previous government worked for promoting the RSS and its saffronisation programme in primary education sector in the state.

Stating that colour of bicycles was changed to saffron, which closely resembled the Sangh attire. Dotasara said, as reported by The Indian Express, ""The issue of saffronisation was raised by the media and we had taken it up in the Assembly... we will take a decision based on what is beneficial to the public."" Rajasthan Congress to Review Textbooks, Reference Material Revised by Previous BJP Government.

Stating that decisions taken by previous BJP government out of 'political vendetta' would be reviewed, Dotasara said, ""In the past five years, decisions were made as per the list provided to the government by the RSS. We have ordered officials that whatever changes were made in the education sector -- whether it is relocation of schools, change in textbooks and uniforms -- all of it should be reviewed.""

Alleging that the education sector became a laboratory for the RSS in the BJP rule, he said, ""The education department in Rajasthan had ended up being a laboratory for the RSS. We are forming a separate committee of educationists to review the changes made in textbooks and distortion of history. Gandhiji has been reduced to a note and they (BJP) forgot to mention the contribution of people such as Nehru, Indira Gandhi, Rajiv Gandhi and other figures.""

Among other things, the Rajasthan government in their first Cabinet meeting decided to remove the logo of Deendayal Upadhyay from all government letter pads and said that the national emblem would replace it."
"5","1029223475","2018-12-30","https://www.thehindu.com/news/cities/kozhikode/education-should-strengthen-values-of-renaissance-says-chief-minister/article25863735.ece","Education should strengthen values of renaissance, says Chief Minister","The Hindu",FALSE,"Take in culture transcending communal thoughts, students told

Chief Minister Pinarayi Vijayan has said that education should be able to strengthen the values of the renaissance, humanity and secular ideals, calling on students to grow up as righteous people who can take in human culture transcending communal and casteist thoughts.

Inaugurating the second floor of the higher secondary block of the Chala Government Higher Secondary School here, and the State-wide launch of 'Relish', the project to improve the English language skill of secondary students, on Saturday, Mr. Vijayan said there was a time when a large section of people in the State had been denied the right to education based on their caste. That situation changed now. ""We won that right not because those who imposed the denial of education voluntarily withdrew it, but as a result of strong struggles."" The move from certain quarters to push people into old social conditions and the dark ages should be defeated, he said.

Mr. Vijayan said the State had reached the present condition by defeating casteist division and discrimination practised by the feudal system.

Students should understand facts and analyse subjects scientifically, he said, adding that the educational programmes being implemented in the State catered to that goal.

As a result of the education protection initiatives, the academic standard in government schools has been improved, he said.

Stressing the need to improve the standard of education in accordance with the changing times, Mr. Vijayan said that 'Relish English' is a research-oriented project implemented under the leadership of the NCERT.

It was being introduced in ten schools in the State, he added."
"6","1028619881","2018-12-29","https://timesofindia.indiatimes.com/city/hyderabad/education-sector-on-standstill-over-cms-failure-in-ministers-appointment/articleshow/67295392.cms","Education sector on standstill over CM's failure in minister's appointment - Times of India","The Times of India",FALSE,"HYDERABAD: From issuance of common entrance test schedule to key appointments, various decisions in the education sector are on standstill because of chief minister K Chandrasekhar Rao's delay in appointing the education minister even after 18 days of swearing-in.

With the new academic year set to commence in the next few months, there are various key decisions that are now lying in the backburner as the CM is yet to allot ministries to the newly-elected members of the assembly.

Take for instance the schedule for common entrance tests and school admissions. Last year, the Telangana State Council of Higher Education (TSCHE) had declared the schedule for all common entrance tests on December 28 and released the admission schedule for schools on December 30. However, this year, the government is yet to commence the process for the same. ""The release of the schedule will take another 2-3 weeks. We have to wait before the minister of education department is appointed,"" said Papi Reddy, chairman of TSCHE, adding that there won't be much of loss as there is sufficient time before the exams are held.

Finalising of a committee to issue notification for fee fixation of professional courses also lies pending. ""First, a committee is constituted that will issue a notification calling applications from private colleges to fix the fee structure for the next three years. Once we receive applications, the same shall be audited and subsequently fee will be fixed. However, we have to wait for the minister to be appointed to seek approval on the committee,"" said Rama Rao, consultant at Telangana Admission and Fee Regulatory Committee (TAFRC).

Other aspects such as affiliation process for intermediate colleges and finalization of admission process for degree courses are also pending.

Making matters worse, several key positions such as principal secretary, commissioner of school education and chairman of the TAFRC also have to be finalised by the new education minister.

The delay by the chief minister has not only irked the opposition parties but also the parents community. ""The fee hike issue has been pending for the last four years. While the TRS party added the school fee issue in it's manifestos in 2014 as well this year, no results were yielded. Once the education minister is appointed, we intend to meet him and seek relief before commencement of the new academic year,"" said Subramanyam Neerukonda, president of Hyderabad School Parents Association (HSPA)."
"7","1028164029","2018-12-28","http://www.newindianexpress.com/states/kerala/2018/dec/28/protests-against-jaleel-to-be-intensified-1917482.html","Protests against Kerala Higher Education Minister K T Jaleel to be intensified","The New Indian Express",FALSE,"MALAPPURAM: After a break, protests demanding Higher Education Minister K T Jaleel's resignation have started again in the district. The Youth Congress state committee on Thursday took out a march to Jaleel's house at Kavumpuram near Valanchery.

Named 'long march,' the protest rally started from Changuvetty and culminated at Kavumpuram where Youth Congress workers blocked road for almost two hours. Youth Congress leader Riyas Mukkoli said the protests would continue until Jaleel quits. The organisation plans to expand the protests to other districts and dharnas will be organised in front of all district collectorates on January 14. Besides, a march will be taken out to the office of the Kerala State Minorities Development Finance Corporation at Nadakkavu in Kozhikode.

Thursday's rally was attended by around 15,00 Youth Congress workers. A P Anilkumar MLA flagged off the rally from Changuvetty. KPCC secretary V A Khareem presided over. DCC president V V Prakash inaugurated the siege in front of Jaleel's house.

The Muslim Youth League has decided to strengthen protests against Jaleel. ""We have approached the VACB seeking the outcome of a complaint lodged with it. We have plans to approach the court seeking action against the corrupt minister,"" Youth League state general secretary P K Firos said."
"8","1026412755","2018-12-25","http://risingkashmir.com/news/uttarakhands-education-minister-meets-guv","Uttarakhand's Education Minister meets Guv","RisingKashmir",FALSE,"Arvind Pandey, Minister for Education, Uttarakhand State, accompanied by Balraj Pasi, former Member Parliament from Uttarakhand, met Governor Satya Pal Malik at the Raj Bhavan here on Tuesday.

According to an official, Pandey and Governor discussed a range of issues relating to the interventions required in the Education sector to make it responsive to the job market and ways and means to enhance enrolment in schools and provide quality infrastructure for improving the overall literacy rate in India.

They discussed the crucial importance of promoting sports and other extra- curricular activities and providing ample opportunities to youth for their holistic development, the official added."
"9","1025275549","2018-12-23","https://www.thehindu.com/news/cities/Kochi/exam-centric-education-kills-creativity-minister/article25814884.ece","Exam-centric education kills creativity: Minister","The Hindu",FALSE,"Society should rethink its attitude towards education as a means of making the grade in examinations, Education Minister C. Ravindranath has said. He was speaking at the P.M. Foundation Education Awards function here on Sunday.

Students' creative aptitude gets killed when education becomes examination-centric. Probably, such a trend does not create geniuses -- be it scientists or artists -- despite the fact that the State has made immense progress in the education sector.

The government is not in favour of examination-centric education, and it aims to transform the education system from being teacher-centric to student-centric. It is also the objective of the education protection campaign, the Minister said.

He added that studies should be considered as a journey towards making discoveries, and that one does not gain much by learning things by heart. An A+ in life is more important than an A+ in examinations, and students, teachers, and parents should be sensitive to this significant aspect, Mr. Ravindranath said. He also called upon students to use their mother tongue as a tool to excel in life.

The Minister pointed out that parents and teachers should motivate students to excel in their own creative fields. Never should a student be discriminated against for not making the grade.

The foundation's Haritha Vidyalayam Awards were presented to KMHSS, Valakkulam, Malappuram; Krishnavilasam UPS, Pangode, Thiruvananthapuram, and GHSS, Udinoor, Kasaragod.

P.M. Foundation chairman A.P.M. Mohammed Hanish presided over the function. IMG Director K. Jayakumar delivered the keynote address, and P. Mohammed Ali gave the message.

Venu Rajamony, India's former Ambassador in Netherlands, and Alappuzha District Collector S. Suhas were present."
"10","1019723398","2018-12-16","https://www.ptcpunjabi.co.in/sirjanhari-award-ceremony-live-updates-former-education-minister-daljit-singh-cheema-ceremony/","Sirjanhari Award Ceremony LIVE updates : Former Education Minister Daljit Singh Cheema is here at ceremony - PTC Punjabi Sirjanhari Award Ceremony LIVE updates : Former Education Minister Daljit Singh Cheema is here at ceremony","PTC Punjabi",FALSE,"Sirjanhari Award Ceremony LIVE updates : Former Education Minister Daljit Singh Cheema is here at ceremony

Role of today's women is boundless, be it at home front or in the commercial setting. With an idea to promote women's who have excelled in different areas of life with their confidence and strength despite their struggles in life.""Nanhi Chaan Charitabale Trust""on the completion of its 10 years will felicitate the women's who have excelled in different areas of life."
"11","1019527777","2018-12-16","https://timesofindia.indiatimes.com/city/goa/draft-natl-edu-policy-soon-hrd-minister/articleshow/67110424.cms","Draft national education policy soon: HRD minister Prakash Javadekar - Times of India","The Times of India",FALSE,"PANAJI: Union minister for human resource development (HRD) Prakash Javadekar, on Saturday said the much-awaited draft National Education Policy would be ready shortly.

At the Goa University's 31st annual convocation ceremony, Javadekar said work on the report on higher education, authored by former Indian Space Research Organisation chief K Kasturitangan, was completed on Saturday and would be submitted to the government soon.

Javadekar also said a separate category would be created for smaller universities in the National Institutional Ranking Framework (NIRF) of the HRD, to ensure that such institutions don't lose out to larger ones.

""The National Education Policy will include accessibility, affordability, equity, quality and accountability,"" Javadekar said. ""These will be its five pillars. Our committee, under Kasturirangan, met for the last time on Saturday. Members said work was over and that they would hand over the education policy to me any time now. This will give a new direction to our education system.""

After GU vice-chancellor Varun Sahni said in his speech that it would be better if NIRF considered not just absolute numbers but per capita data, so that smaller universities don't find themselves disadvantaged, Javadekar said, ""It is a good suggestion that smaller universities should have a different category under NIRF so that they are not compared to universities having 1 lakh to 1.5 lakh students. If we compare smaller universities, they will appear to not be performing on par. But if we assess them on per capita output, the picture will be different. I assure you that a different category will be made in the NIRF ranking for smaller universities. I want to announce it here.""

The minister said other organisations would also be involved in the National Assessment and Accreditation Council's accreditation of institutes, so that each institute could be ranked at least once in five years.

Sahni also maintained that the GU legitimately had a place in Institutes of Eminence (IoE) competitions. ""At least a couple of IoEs should be small universities doing excellent work that can rapidly be scaled up to comparative size,"" he said."
"13","1018538746","2018-12-14","https://www.clipper28.com/en/several-steps-have-been-taken-to-promote-quality-education-in-country-says-minister/","Several steps have been taken to promote quality education in country, says Minister","Clipper28 Digital Media",FALSE,"He further said that government is open for other agencies to take the responsibility of accreditation and IITs and IIMs have been asked for the same so that more and more institutions can be accredited from reputed agencies.

Union Minister for HRD Shri Prakash Javadekar has said that the government is committed to increase quality education in the country right from primary education to higher education.

Mr Javadekar was speaking at the national Conference on 'Positioning India on the Global Education Map' in New Delhi today. In higher education, we have taken tremendous steps to improve college education, for this we are making accreditation process more scientific and tough. Government wants to increase the strength of NBA and NAAC so that more number of institutions can be accredited, the Minister added.

He further said that government is open for other agencies to take the responsibility of accreditation and IITs and IIMs have been asked for the same so that more and more institutions can be accredited from reputed agencies.

The Minister said that ranking and rating increase competitiveness among institutions for better performance. He gave the example of National Institutional Ranking Framework (NIRF) and said that because of NIRF every institute has constituted an internal committee to improve the ranking. Students also see institutions ranking before taking admission, he added.

The Union Minister said that teacher is the most important component to increase quality educationin the colleges and universities. He said that attendance should increase in the classroom because of teacher's skills not because of the infrastructure of the college. He further said that we are lacking good teachers in the institutions because good people are not becoming teachers.

We have to attract good people for teaching profession and we have to give respect to teachers then only we can create a good learning environment in the institutions. Best teachers attract students to the institution not the best infrastructure, he added.

Graded autonomy is another major step of the government to boost quality education in the country, the Minister said. Shri Javadekar explained that the universities will remain within the ambit of UGC but will have the freedom to start new courses, off campus centers, skill development courses, research parks and any other new academic programs. They will also have the freedom to hire foreign faculty, enroll foreign students, give incentive based emoluments to the faculty, enter into academic collaborations and run open distance learning programmes.

The Minister said that we are focusing on research and innovation to boost research culture in the country. The Ministry of HRD successfully conducted two Smart India Hackathon in 2017 and 2018 and started process for third installment of Smart India Hackathon- 2019, he said.

The Minister further said that to promote innovation culture in India we have started Innovation Cell in AICTE and more than 1000 colleges started Innovation Club in their campuses. The research and innovation culture will make education more relevant and reliable, he added.

Beside these steps to promote quality education in the country we have increased budget amount for the higher education through HEFA, the Minister added. He said that India is improving its ranking in world class institutions but we want to enter in top 100 club of best institutions, therefore we are trying to make 20 Institutes of Eminence in the country, 10 each in public and private category.>"
