"","relevant","body","title","ID","date","url","source","duplicate"
"1306","","I mean MIT is cool and all but you really want to see engineering at it\'s most raw core from scratch come to this place. Check out http://www.GeographyNow.com ! You asked for merch so we made it for you! We now have a Public mailbox too! Feel free to send anything via mail! Our public mailbox address is: 1905 N Wilcox ave, #432 Los Angeles CA, 90068 SUBSCRIBE: http://bit.ly/1Os7W46 BTS info and tidbits? Check out the Facebook fan page: https://www.facebook.com/GeographyNowFanpage/?fref=ts Twitter: https://twitter.com/geographynow Instagram: http://instagram.com/GeographyNow_Official Become a patron! Donate to help pay for production of GN includin Ken\'s salary. You also get exclusive BTS footage, pics/ and access to other perks! Go to: http://patreon.com/GeographyNow WATCH MORE: Countries A to Z: http://bit.ly/1T8Z9JY Europe: http://bit.ly/1YoRaIB ------------------------------------------------------------------------------------------------- Welcome to Geography Now! This is the first and only Youtube Channel that actively attempts to cover profiles on every single country of the world. We are going to do them alphabetically so be patient if you are waiting for one that\'s down the road. CONTACT US if you are from a country that is coming up! Teach us! Email: GeographyLater@gmail.com Stay cool Stay tuned and remember, this is Earth, your home. Learn about it....","Malawi:Minister Nankhumwa Says Universal Quality Primary Education in Malawi Non-Negotiable","962994594","2018-10-06","https://article.wn.com/view/2018/10/06/MalawiMinister_Nankhumwa_Says_Universal_Quality_Primary_Educ/","article.wn.com",FALSE
"1307","","Tesla stock has crashed today after the bad news regarding Elon Musk came out. The question is where are things going in the future with Tesla stock and Elon Musk with his SEC investigation. I answer the 10 biggest questions regarding this Elon Musk Tesla situation. What is your opinion? *Link to Get Tickets to my Building Wealth Conference in VEGAS https://financial-education2.teachable.com/p/building-wealth-conference-2019-presented-by-financial-education Have you been Investing in the stock market for less than 1 year? Join my Private Stock Market Membership Group where you can learn straight from me. This week I am doing a special and will give you 50% off. Enter code \""halfoff\"" at checkout. Enjoy! https://financial-education2.teachable.com/p/in-jeremy-s-stock-market-brain * My Instagram is : FinancialEducationJeremy Financial Education Channel...","Quality Education","962477000","2018-10-05","https://article.wn.com/view/2018/10/05/Quality_Education/","article.wn.com",FALSE
"1308","","Mysuru: ""Education is a treasure that can be preserved without any fear of loss,"" said Justice V Gopala Gowda, a retired judge of the Supreme Court here on Friday. Justice Gowda, who delivered the convocation address at St. Philomena's College, likened teachers to a sculptor who sharpens and chisels the life of students.

""Quality education is the solution to all problems in the society,"" said the retired judge.

Mysuru Bishop Reverend KA William said that the best convocation was the sense of satisfaction that one had of being a good human being. ""Education becomes prominent when it spreads in all directions. Always do good, think good and speak good, and that is how one serves his or her purpose to the society,"" he added.

In-charge vice-chancellor of the University of Mysore (UoM) Prof. Aisha M Sheriff pointed to St. Philomena's College's seven-decade-old legacy. ""The college was established in 1946, and it was thrown open by then maharaja Jayachamaraja Wadiyar. The institute was the first degree college to be accredited A+ by NAAC. The college is a global village, with students from 19 states in India, and 26 foreign countries studying here,"" Prof. Aisha said.

Exhorting students to dream, and dream big, she added, ""One must never stop learning, and must always treat the whole of humanity as a religion.""

Achievers

*Seven undergraduate, and eight postgraduate students were awarded gold medals for excellence in courses

*29 undergraduate students were given gold medals for excellence in individual subjects

*255 undergraduate, and 132 postgraduate students were awarded degrees","Quality education a solution to all ills, says retired SC judge - Times of India","957315280","2018-09-29","https://timesofindia.indiatimes.com/city/mysuru/quality-education-a-solution-to-all-ills-says-retired-sc-judge/articleshow/65999836.cms","The Times of India",FALSE
"1309","","381 students were conferred degrees at the fourth convocation of Central University of Tamil Nadu, Tiruvarur

The real challenge is in infusing quality into delivery of higher education alongside enlarging its reach, Justice Balbir Singh Chauhan, Chairman of Law Commission of India, said addressing the fourth convocation of Central University of Tamil Nadu, Tiruvarur, on Friday.

Higher education is the key factor for creating a large pool of skilled manpower for our nation.

It is the determiner of career prospects of the students and is the stepping stone for building a strong nation, said Justice Chauhan.

Universities, he said, were the hub of dynamic and creative young students and experienced faculties where innovative ideas and technologies sprout for advancement of science and development of home grown technologies.

""Understand and tap your potential to the maximum. With talents and interests, you can transform the world,"" Justice Chauhan told the students.

""While the internet is a magical world and provides solutions to many questions, constant use of social media may lead to a kind of addiction resulting in vulnerability to crimes and dereliction of work. Therefore, try to use technology for your advantage and ensure that it is not detrimental to your personal life and future prospects,"" he added.

In his welcome address, Vice-Chancellor A. P. Dash said quality of education has to be the focus of attention in the country that accounts for over 800 universities and 50,000 colleges.

For the country to become a developed nation, every individual must strive to achieve excellence.

""A degree is no longer a passage to certain employment. There is a need to add new skills with latest technologies. Innovation and creativity are the keywords of our times."" Prof. Dash said.

The chief guest conferred degrees on 381 students comprising 151 boys and the rest girls in the presence of G. Padmanaban, Chancellor of the University.","'Real challenge is in imparting quality education'","957043093","2018-09-28","https://www.thehindu.com/news/cities/Tiruchirapalli/real-challenge-is-in-imparting-quality-education/article25073574.ece","The Hindu",FALSE
"1310","","CHENNAI: The Southern Railway Headquarters Hospital at Perambur was conferred with a shield and citation under ""NBE Scroll of Honour for Teaching Institutions"" category for the year 2014 by the National Board of Examinations for its outstanding commitment towards preserving the highest standards in higher medical education, clinical research and training.

The Shield and citation was received by Dr V Nirmala Devi, MD, Railway Hospital, Perambur, from the vice President of India, M Venkaiah Naidu, during the 19th Convocation of the National Board of Examinations held at Vigyan Bhavan, New Delhi, on 21st September.

The Southern Railway Headquarters Hospital is a 500-bed multi-specialty hospital with a daily outpatient attendance of about 1200 patients. It is a referral hospital that caters to patients from all over the country. This teaching hospital has been partners with the National Board of Examinations since 1984, and postgraduate students are well-equipped to observe the highest standards of patient care.

Since the inception of the Diplomate of National Board programme in 1984, more than 500 postgraduates have graduated from this institution.

Jack of all trades

The school offers postgraduate courses in general medicine, general surgery, obstetrics and gynaecology, anaesthesiology, cardiology, otolaryngology and more","Southern Rlys hospital wins award for quality education and training","955643873","2018-09-26","http://www.newindianexpress.com/cities/chennai/2018/sep/27/southern-rlys-hospital-wins-award-for-quality-education-and-training-1877524.html","The New Indian Express",FALSE
"1311","","Sarita Chauhan, Commissioner Secretary Higher Education, met Governor Satya Pal Malik at the Raj Bhavan here today.

Chauhan briefed Governor about the various important matters relating to the Higher Education Sector in the State, certain outstanding issues of the State Universities and the to-date status of vacancies and the pace of recruitments in the Higher Education Department.

Governor emphasised the crucial responsibility of the education department to ensure the provision of quality educational facilities for students at all levels. He observed that only advancement in education could promote the future growth and development of the state.","Ensure quality education in JK, Guv directs admin","955535526","2018-09-26","http://risingkashmir.com/news/ensure-quality-education-in-jk-guv-directs-admin","RisingKashmir",FALSE
"1312","","The Global Educational Software Market research report 2018 provides a holistic vision of the worldwide market also estimates the current industry state, demands, and the business strategies implemented by market players.

The Educational Software report studied market growth elements, manufacturing technologies, constraint, and contemporary market trends. It also explores opportunities as well as challenges for novice and well-established players in the industry.

Request for Sample of Global Educational Software Market Research Report at : https://www.marketresearchexplore.com/report/global-educational-software-market-study-2015-2025/164446#enquiry

Educational Software market is controlled by these major players:

The Educational Software report firstly en-lightens the overview with market definition in a precise and straightforward manner. The Educational Software market is segmented on basis of types, applications, and regions.

Educational Software Market segregated into Regions as follows :

The report contains the following aspects of Educational Software market:

Educational Software market related database is gathered by using many effective inquisitive tools such as feasibility analyses, a study of market attractiveness, and predictable investment returns estimation. The expert analyst team had comprehended the outcome of analytical methods to evince the exact portrayal of the Educational Software market. The report will assist to implement future winning strategies during the period 2018 to 2023.

For More Detailed Information regarding Companies, Types and Applications visit : https://www.marketresearchexplore.com/report/global-educational-software-market-study-2015-2025/164446

Browse Educational Software Market Report at @ https://www.marketresearchexplore.com/report/global-educational-software-market-study-2015-2025/164446

If you have any customized requirement need to be added regarding Educational Software , we will be happy to include this to enrich the final study.

Ask our Industry Experts @: sales@marketresearchexplore.com","Global Educational Software Market 2018 : Leading Companies Quality-oriented Education Software, Examination-oriented Education Software","955268835","2018-09-26","https://ittechherald.com/2018/09/26/global-educational-software-market-2018-leading-companies-quality-oriented-education-software-examination-oriented-education-software/","ittechherald.com",FALSE
"1313","","We have highly qualified and experienced teachers in government schools. The students studying in government schools come from a very poor background and their parents are not educated, hence, they are not able to give any attention towards their studies at home. This is the bitter truth that the students from these schools are not well versed with the three R's namely reading, writing and arithmetic, (Curtis, 1795 as cited by Timbs&Limbert, 1825).

Moreover, they are not able to spell, understand and pronounce words even in the upper primary classes. This problem is carried forward to higher secondary level and at times even to higher education level.

And in this way can say that we are not able to generate good educational outcomes from government schools because the students studying there don't have a strong base. Government schools lack organizational capacity. The classes are not organized in judicious rooms.

The main aim of education is to acquire relevant skills and knowledge coupled with the proper know-how and technology, which is responsible for the capacity and skill development and the inclination for making cost-effective use of that knowledge.

It is very unfortunate that the students in the government schools don't even get a basic education which is why the main aim of education remains unfulfilled. Government teachers don't give thrust on spellings, meanings, pronunciation, and dictation etc. so that basics of students studying in such schools are very weak and for that matter, they are not able to write a sentence or even a paragraph properly.

All the schools, colleges and institutions of higher education in India follow a random walk series as far as course outline is concerned. The obsolete syllabus is the normal feature of Indian educational institutions which doesn't fit into the modern world setting. For the reason, students in our country are not able to find a good place in job markets, in and outside the country.

Moreover, faulty education system is one of the reasons for high educated unemployment in our country in general and Jammu Kashmir in particular (Qadri&Kasab, 2017).

In order to improve the quality of education in India, particularly in government schools, the government and the concerned authorities should put heavy emphasis upon the research and development of the syllabus which should necessarily talk about the modern world and its related processes of globalization, liberalization and privatization on the one hand and technology, innovations and entrepreneurships on the other hand. Furthermore, special focus should be given on relevant case studies.

There is a need to thoroughly and scientifically review and identify the policy intermediations that improve education quality and student learning at the elementary levels. We need to depend on a theory of alteration and for that matter, we need to understand the main drivers of the improvements in the quality of education at elementary level.

The supply-side competence contributions need to be put up that function through the provision of better infrastructure, particularly, human capital, and social capital. The efficiency wage hypothesis argues that incentives and rewards increase the productivity or efficiency. It should be adopted in our education system for both students as well as for teachers because it will increase their productivity levels.

Besides, the programmes, policies and plans through rewards and incentives seek to influence the behavior and inter-temporal likings and inclinations of teachers, parents and students.

The inductive or bottom-up and deductive or top-down participating and community management intrusions, which activate through the principles of decentralization and its allied reforms, transmission of skills and knowledge, and augmented community participation in the organization and management of education systems must be adopted (Masino&Zarazua, 2015).

Conclusion and recommendation:

Immense stress should be given right from KG classes at words, spellings, meanings, pronunciation, writing, dictation, and reading etc. so that fundamentals of learning become strong which will make the students able to read and write properly.

There is a need to thoroughly and scientifically review and identify the policy intermediations that improve education quality and student learning at elementary levels. It is very important to note that the inputs and efforts are effective only when policy changes are coupled with community participation, rewards and social capital.

We can improve learning outcomes when social norms and inter-temporal varieties and selections are factored in the strategy of education plans and policies (Masino&Zarazua, 2015), and when we integrate technology with classroom.

As education is an unending process and the knowledge acquisition and skill upgradation for its solicitation and application are not static but parts of a dynamic and lively process, there is a need to make schools dynamic and lively with good interaction among all the parties involved in the teaching-learning process.

Special training programmes must be developed for teachers teaching at an elementary level. Division of labour is the separation of tasks in a system so that actors or participants may specialize. Economic growth is the pivotal point of Adam Smith's Wealth of Nations (1776). Economic Growth for Smith is rooted in increasing division of labour and specialization.

In any modern education system there is an increasing emphasis on specialization and the division of labour. Subject specialist teachers must be allocated against specific subject posts.

For example, P.G. in English must be posted for teaching English, P.G. in History must be posted for teaching History, P.G. in Chemistry must be posted for teaching Chemistry and so on and so forth. This will definitely enhance the quality of education and bring specialization in an economy in general and education in particular.

References

Qadri, B. &Kasab, A, M. (2017). Educational Unemployment in Jammu and Kashmir: Causes, Consequences and Remedial Measures. Asian Journal of Managerial Science. Vol.6 (2): July-Dec. pp. 1-66.

Masino, S and Niño-Zarazúa, M. (2015). What works to improve the quality of student learning in developing countries? Helsinki: World Institute for Development Economics Research.

Timbs, J. &Limbird, J. (1825). The Mirror of Literature Amusement and Instruction. Vol.5. p85.","Improving quality of education at elementary level","954676589","2018-09-25","http://risingkashmir.com/news/improving-quality-of-education-at-elementary-level","RisingKashmir",FALSE
"1314","","BENGALURU: Deputy Chief Minister G Parameshwara has urged the state higher education minister to take necessary measures to improve the quality of education at state-run universities.

On Saturday, Parameshwara wrote a letter to Higher Education Minister GT Devegowda and highlighted some of the issues in state universities which need to be addressed immediately. According to sources close to Parameshwara, he mentioned about the declining quality of higher education and also the increase in corruption and politics within campuses.

When asked about it, Devegowda said he has not received the letter yet. ""I got to know that Dy CM spoke about the quality of higher education at state universities in one of his speeches. I will check with my officers about the official communication and take necessary measures about the issues highlighted by him.""","Deputy CM G Parameshwara urges GT Deve Gowda to improve quality of education in Karnataka","952665930","2018-09-22","http://www.newindianexpress.com/states/karnataka/2018/sep/23/deputy-cm-g-parameshwara-urges-gt-deve-gowda-to-improve-quality-of-education-in-karnataka-1875974.html","The New Indian Express",FALSE
"1315","","School no 18 at Parabwadi is one of the many civic schools that have undergone a makeover in the past two years. (Praful Gangurde/ HT)

Take a walk along the corridors of TMC school number 18 at Parabwadi and the information neatly painted on walls will tell you about countries and flags. Small diagrams on other walls give an insight into the school and the schedule.

This is one of the many civic schools which have undergone a makeover in the past two years.

The Thane Municipal Corporation's education department has made use of Corporate Social Responsibility (CSR) funds to give civic schools a facelift.

The move has made the students more enthusiastic to attend class.

""We have noticed better attendance in classrooms after the colourful makeover. Also children are showing interest in subjects where special sessions are conducted for them,"" said Disha Vichare, teacher at a civic school in Kisan Nagar.

Corporates have helped set up digital and technology friendly classrooms and laboratory for higher classes.

Not just infrastructure but self-help organisations are focusing on improving the quality of teaching.

Some provide sessions for special children and some focus on students who are talented in art. English speaking sessions are also held for teachers and special coaching for dropouts.

A total of Rs9.76 crore corporate social responsibility funds have been used since 2015 till 2017 with an aim to improve the quality of education in municipal schools.

The TMC accepts funds from top corporates and self-help organisations to avoid delays in projects.

""Earlier, the procedure to approve budget for projects was time-consuming. However, approval for CSR funding is quick. Since the corporates handle most of the procedure, it saves us a lot of time. This also helps students and teachers to get better facilities quickly,"" said Vikas Repale, chairman of education committee, education department, TMC.

A visible example of the benefits of CSR initiative is the signal school at Teen Hath Naka, which has been running for three years.

""The signal school started for the children begging on the streets has gained a lot of popularity. We will soon begin a platform school in Mumbra for children loitering on the station premises,"" said Manish Joshi, deputy municipal commissioner, education department, TMC.

He said a skill centre for labourers has also been built. ""We are working towards making Thane's civic education on a par with private institutions,"" Joshi said.

""Many organisations have approached us to provide stationery or meals to students of civic schools. We tell them about the requirements we have in schools and accordingly the organisations work to provide what the schools lack,"" added Repale.

Many TMC schools, which were in a run-down condition, have been upgraded with better infrastructure and teaching quality.

Students of Lokmanya Nagar civic school were happy getting a laboratory recently.

""Without a laboratory, it was difficult teaching science to students. There was hardly any practical training and students also would not show much interest in understanding concepts. There has been a huge improvement after a laboratory was set up,"" said Pranali Vaidya, teacher from the school.

Students are excited about their 'new' school.

""Our school walls have mathematical tables and cartoon figures. It is attractive and we all join in to learn tables,"" said Anish More, student of Vartak Nagar civic school.

""The makeover has made

a difference to learning and teaching. However, the CSR activities are time-bound and it is essential for the TMC to ensure that teaching quality keeps improving,"" said Vijay Bedekar, educationalist.","TMC schools score high on quality education after infrastructure upgrade ","951195447","2018-09-20","https://www.hindustantimes.com/mumbai-news/tmc-schools-score-high-on-quality-education-after-infrastructure-upgrade/story-IELTCSvfdRmflNl0CP2kpL.html","Hindustan Times",FALSE
